sale_id,branch,sale_date,product_name,category,quantity,unit_price,discount_pct,payment_method,salesperson
1,MirPUr ,2026-03-11,  Sugar 1kg,Groceries,8,৳607.36,0.0,NAGAD,Nusrat Jahan
2,MIRPUR,02-08-2026,Detergent 1kg,Groceries,19,643.23,10%,Cash,Karim Hossain
3,MOTIJHEEL ,02-28-2026,Onion 1kg,Groceries,8,"৳1,028.59",10,NAGAD,Farhana Akter
4,miRpUr,2026-03-14,Detergent 1kg,Groceries,16,923.21,25,Cash,Farhana Akter
5,Gulshan,2026-04-15,Rechargeable Fan,Electronics,12,4604,25%,CASH,Farhana Akter
6,uttara ,10/01/2026,Sugar 1kg,Groceries,5,"৳1,114.09",0.1,bkash,Jahid Islam
7,GulSHan,01-16-2026,Sugar 1kg,Groceries,2,147.40,20%,bkash,Farhana Akter
8, Chattogram,02-12-2026,  Soyabean Oil 1L,N/A,18,1477,0.15,cash,NULL
9,mOtijHEel,29/03/2026,Turmeric 200g,Groceries,17,৳397,0.0,Bkash,Karim Hossain
10,Dhanmondi,03-09-2026,Shampoo 200ml,Groceries,8,৳1364.68,10,bkash,Nusrat Jahan
11, mOtIjhEeL,01/03/2026,Rechargeable Fan,Electronics,20,৳334.02,0.25,BKASH,Karim Hossain
12,uttara ,23/04/2026,Toothpaste,Groceries,3,"৳1,178.90",20%,bkash,Karim Hossain
13,UTTARA ,04-13-2026,Sugar 1kg ,Groceries,16,৳65.63,15,Nagad,Rahim Uddin
14,dhanmondi,24/02/2026,Turmeric 200g,Groceries,9,৳177,0.1,BKASH,Mehedi Hasan
15,MIRPUR,04-14-2026,Rechargeable Fan,Electronics,17,2397,0.05,Nagad,
16,dhaNmonDi ,04/02/2026,Rice 5kg,Groceries,18,1170,5%,BKASH,Arif Chowdhury
17,uttara ,05/03/2026,Tea 500g,Groceries,9,  ৳692.21 ,10%,CASH,Mehedi Hasan
18,moTijHeeL,2026-02-19,Flour 2kg ,Groceries,8,657,0.2,bkash,Nusrat Jahan
19,UTTARA ,31/03/2026,Shampoo 200ml,Groceries,10,53.74,5,CARD,Karim Hossain
20,dhanmondI ,04-12-2026,T-Shirt ,Clothing,9,"  ৳3,549.69 ",5%,Cash,Nusrat Jahan
21,Uttara,02-03-2026,Milk Powder 500g ,Groceries,8,  ৳42.03 ,5%,cash,Tanvir Hasan
22,Dhanmondi ,2026-02-03,Lentil (Masoor) 1kg,Groceries,2,453,0.1,nagad,Farhana Akter
23,uttara,2026-03-05,Biscuit Pack,Groceries,11,993,5%,BKASH,Shafiq Ahmed
24,chattoGRAM,02-11-2026,T-Shirt,-,7,"৳1,299",0%,bkash,
25,mOtiJhEel ,04-24-2026,Flour 2kg,Groceries,11,৳769.49,25,Bkash,Jahid Islam
26, gulshan ,03-30-2026,Extension Cord ,Electronics,17,5813.83,0.0,NAGAD,Sumaiya Sultana
27,gUlshan,2025-12-31,Flour 2kg,Groceries,17,  ৳150.51 ,0.05,Nagad,NULL
28,DhanMoNDi ,17/03/2026,Soyabean Oil 1L,Groceries,10,৳1273.05,5,nagad,NULL
29,GULSHAN ,2026-03-07,Extension Cord,Electronics,4, 1532.35 ,10%,Cash,Rahim Uddin
30,motijheel,18/02/2026,Potato 1kg,Groceries,3,1452.96,0.05,Nagad,Sabbir Rahman
31, MotIJheEL ,09/02/2026,Potato 1kg,-,13,437,0.1,cash,Tanvir Hasan
32, motijheel,2026-02-23,Toothpaste,Groceries,2,"৳1,498.22",0.1,CASH,Tanvir Hasan
33,chattogram,04-13-2026,Electric Kettle,Electronics,18,2520.77,5,card,Lima Khatun
34,Mirpur ,16/01/2026,Detergent 1kg,Groceries,10,৳741,10%,Card,Farhana Akter
35, miRpur,24/01/2026,  Salt 1kg,Groceries,3,৳974,15%,CARD,Rahim Uddin
36,MOTiJheeL ,2026-01-31,Biscuit Pack,Groceries,10,"৳1,125.11",0,cash,Farhana Akter
37,mirpur,2026-04-19,Soyabean Oil 1L,Groceries,4,৳602,0.05,Card,Sumaiya Sultana
38,Chattogram,31/12/2025,  T-Shirt  ,Clothing,10, 2166.50 ,0.1,Card,Karim Hossain
39,Dhanmondi,04-11-2026,  Socks Pair,Clothing,15,৳2706,0.15,bKash,Nusrat Jahan
40,ChaTTogram,19/02/2026,  চিনি,Groceries,17,1064,25,Bkash,Nusrat Jahan
41, mIRpur,19/02/2026,  Electric Kettle  ,Electronics,5,5797.27,0,bkash,Sumaiya Sultana
42, dhaNmondI,2026-01-10,Soyabean Oil 1L,Groceries,18, 1399.10 ,10%,BKASH,Tanvir Hasan
43,mIrpUr,2026-04-08,  Rice 25kg,,2,৳1065,0.05,BKASH,Sabbir Rahman
44,motijheel,07/02/2026,Tea 500g,Groceries,3,1126,10,nagad,Farhana Akter
45,dhanmondi,04/03/2026,  Tea 500g,Groceries,10,"৳1,372.48",0.05,bKash,Sabbir Rahman
46, DHAnMondI,2026-01-12,Chili Powder 200g,Groceries,15,142,5%,nagad,Jahid Islam
47,MotiJHEEl,10/02/2026,Electric Kettle,Electronics,17,4369.10,0.05,nagad
48,Chattogram,2026-04-22,  Flour 2kg  ,n/a,19,1265,5%,Nagad,Farhana Akter
49, mIRPUr,04-03-2026,LED Bulb 9W,Electronics,11,6155.21,15,NAGAD,Nusrat Jahan
